parentEventID	eventID	occurrenceID	catalogNumber	type	language	basisOfRecord	occurrenceStatus	ScientificName	Kingdom	Phylum	Class	Order	Family	Genus	Subgenus	specificEpithet	scientificNameID	scientificNameAuthorship	identifiedBy	identifiedByID	institutionCode	collectionCode	Paris_MNHN_Number	preparations	year	month	day	eventDate	decimalLatitude	decimalLongitude	coordinatePrecision	coordinateUncertaintyInMeters	occurrenceRemarks	identificationRemarks	identificationQualifier	locality	geodeticDatum	minimumDepthInMeters	maximumDepthInMeters	associatedOccurrences
ACE_2017	211	SO_Isotope_1985_2017_0001	ACE_ASCCC_0076.1	PhysicalObject	en	PreservedSpecimen	present	Odontaster penicillatus	Animalia	Echinodermata	Asteroidea	Valvatida	Odontasteridae	Odontaster		penicillatus	urn:lsid:marinespecies.org:taxname:177924	(Philippi, 1870)	Camille Moreau	0000-0002-0981-7442	ULB			Ethanol	2017	1	3	2017-01-03	-49.7331	64.8713	1e-4	11.1				Kerguelen Islands	WGS84	290	290	"sameAs": "http://v3.boldsystems.org/index.php/API_Public/combined?ids=ASULB1480-21"
ACE_2017	211	SO_Isotope_1985_2017_0002	ACE_ASCCC_0076.2	PhysicalObject	en	PreservedSpecimen	present	Odontaster penicillatus	Animalia	Echinodermata	Asteroidea	Valvatida	Odontasteridae	Odontaster		penicillatus	urn:lsid:marinespecies.org:taxname:177924	(Philippi, 1870)	Camille Moreau	0000-0002-0981-7442	ULB			Ethanol	2017	1	3	2017-01-03	-49.7331	64.8713	1e-4	11.1				Kerguelen Islands	WGS84	290	290	"sameAs": "http://v3.boldsystems.org/index.php/API_Public/combined?ids=ASULB1481-21"
ACE_2017	211	SO_Isotope_1985_2017_0003	ACE_ASCCC_0080.1	PhysicalObject	en	PreservedSpecimen	present	Bathybiaster vexillifer	Animalia	Echinodermata	Asteroidea	Paxillosida	Astropectinidae	Bathybiaster		vexillifer	urn:lsid:marinespecies.org:taxname:123881	Wyville Thomson, 1873	Camille Moreau	0000-0002-0981-7442	ULB			Ethanol	2017	1	3	2017-01-03	-49.7331	64.8713	1e-4	11.1				Kerguelen Islands	WGS84	290	290	"sameAs": "http://v3.boldsystems.org/index.php/API_Public/combined?ids=ASULB1482-21"
ACE_2017	211	SO_Isotope_1985_2017_0004	ACE_ASCCC_0080.2	PhysicalObject	en	PreservedSpecimen	present	Smilasterias triremis	Animalia	Echinodermata	Asteroidea	Forcipulatida	Stichasteridae	Smilasterias		triremis	urn:lsid:marinespecies.org:taxname:172702	(Sladen, 1889)	Camille Moreau	0000-0002-0981-7442	ULB			Ethanol	2017	1	3	2017-01-03	-49.7331	64.8713	1e-4	11.1				Kerguelen Islands	WGS84	290	290	"sameAs": "http://v3.boldsystems.org/index.php/API_Public/combined?ids=ASULB1374-21"
ACE_2017	211	SO_Isotope_1985_2017_0005	ACE_ASCCC_0080.3	PhysicalObject	en	PreservedSpecimen	present	Rhopiella hirsuta	Animalia	Echinodermata	Asteroidea	Spinulosida	Echinasteridae	Rhopiella		hirsuta	urn:lsid:marinespecies.org:taxname:172745	(Koehler, 1920)	Camille Moreau	0000-0002-0981-7442	ULB			Ethanol	2017	1	3	2017-01-03	-49.7331	64.8713	1e-4	11.1				Kerguelen Islands	WGS84	290	290	"sameAs": "http://v3.boldsystems.org/index.php/API_Public/combined?ids=ASULB1483-21"
ACE_2017	211	SO_Isotope_1985_2017_0006	ACE_ASCCC_0080.4	PhysicalObject	en	PreservedSpecimen	present	Odontaster penicillatus	Animalia	Echinodermata	Asteroidea	Valvatida	Odontasteridae	Odontaster		penicillatus	urn:lsid:marinespecies.org:taxname:177924	(Philippi, 1870)	Camille Moreau	0000-0002-0981-7442	ULB			Ethanol	2017	1	3	2017-01-03	-49.7331	64.8713	1e-4	11.1				Kerguelen Islands	WGS84	290	290	"sameAs": "http://v3.boldsystems.org/index.php/API_Public/combined?ids=ASULB1484-21"
ACE_2017	213	SO_Isotope_1985_2017_0007	ACE_ASCCC_0129.1	PhysicalObject	en	PreservedSpecimen	present	Odontaster penicillatus	Animalia	Echinodermata	Asteroidea	Valvatida	Odontasteridae	Odontaster		penicillatus	urn:lsid:marinespecies.org:taxname:177924	(Philippi, 1870)	Camille Moreau	0000-0002-0981-7442	ULB			Ethanol	2017	1	3	2017-01-03	-49.7278	64.896	1e-4	11.1				Kerguelen Islands	WGS84	296	296	"sameAs": "http://v3.boldsystems.org/index.php/API_Public/combined?ids=ASULB1485-21"
ACE_2017	213	SO_Isotope_1985_2017_0008	ACE_ASCCC_0129.2	PhysicalObject	en	PreservedSpecimen	present	Smilasterias triremis	Animalia	Echinodermata	Asteroidea	Forcipulatida	Stichasteridae	Smilasterias		triremis	urn:lsid:marinespecies.org:taxname:172702	(Sladen, 1889)	Camille Moreau	0000-0002-0981-7442	ULB			Ethanol	2017	1	3	2017-01-03	-49.7278	64.896	1e-4	11.1				Kerguelen Islands	WGS84	296	296	"sameAs": "http://v3.boldsystems.org/index.php/API_Public/combined?ids=ASULB1375-21"
ACE_2017	213	SO_Isotope_1985_2017_0009	ACE_ASCCC_0129.3	PhysicalObject	en	PreservedSpecimen	present	Smilasterias triremis	Animalia	Echinodermata	Asteroidea	Forcipulatida	Stichasteridae	Smilasterias		triremis	urn:lsid:marinespecies.org:taxname:172702	(Sladen, 1889)	Camille Moreau	0000-0002-0981-7442	ULB			Ethanol	2017	1	3	2017-01-03	-49.7278	64.896	1e-4	11.1				Kerguelen Islands	WGS84	296	296	"sameAs": "http://v3.boldsystems.org/index.php/API_Public/combined?ids=ASULB1376-21"
ACE_2017	213	SO_Isotope_1985_2017_0010	ACE_ASCCC_0131	PhysicalObject	en	PreservedSpecimen	present	Labidiaster annulatus	Animalia	Echinodermata	Asteroidea	Forcipulatida	Heliasteridae	Labidiaster		annulatus	urn:lsid:marinespecies.org:taxname:234924	Sladen, 1889	Camille Moreau	0000-0002-0981-7442	ULB			Ethanol	2017	1	3	2017-01-03	-49.7278	64.896	1e-4	11.1				Kerguelen Islands	WGS84	296	296	"sameAs": "http://v3.boldsystems.org/index.php/API_Public/combined?ids=ASULB1486-21"
