occurrenceID	datasetID	eventID	parentEventID	fieldNumber	collectionCode	ownerInstitutionCode	institutionCode	materialSampleID	catalogNumber	type	basisOfRecord	occurrenceStatus	scientificName	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	scientificNameID	scientificNameAuthorship	identifiedBy	preparations	year	month	day	eventDate	decimalLatitude	decimalLongitude	coordinatePrecision	coordinateUncertaintyInMeters	otherCatalogNumbers	identificationRemarks	identificationQualifier	higherGeography	geodeticDatum	minimumDepthInMeters	maximumDepthInMeters
SO_isotope:ULB-ACE_ASCCC_1126.6	Sounthern_Ocean_Isotope_2021	ACE_2017:2770	ACE_2017	2770		ULB	ULB	ACE ASCCC 1126.6	ACE_ASCCC_1126.6	PhysicalObject	PreservedSpecimen	present	Acodontaster	Animalia	Echinodermata	Asteroidea	Valvatida	Odontasteridae	Acodontaster			urn:lsid:marinespecies.org:taxname:172592	Verrill, 1899	Camille Moreau	Ethanol	2017			2017	-54.4246	3.5292	1e-4	11.1				Ile Bouvet	WGS84	399	399
SO_isotope:ULB-ACE_ASCCC_0214.6	Sounthern_Ocean_Isotope_2022	ACE_2017:270	ACE_2017	270		ULB	ULB	ACE ASCCC 0214.6	ACE_ASCCC_0214.6	PhysicalObject	PreservedSpecimen	present	Acodontaster	Animalia	Echinodermata	Asteroidea	Valvatida	Odontasteridae	Acodontaster			urn:lsid:marinespecies.org:taxname:172592	Verrill, 1899	Camille Moreau	Ethanol	2017			2017	-51.1347	71.8448	1e-4	11.1		Clade_Acodontaster sp6		Kerguelen	WGS84	214	214
SO_isotope:ULB-ACE_ASCCC_0214.7	Sounthern_Ocean_Isotope_2023	ACE_2017:270	ACE_2017	270		ULB	ULB	ACE ASCCC 0214.7	ACE_ASCCC_0214.7	PhysicalObject	PreservedSpecimen	present	Acodontaster	Animalia	Echinodermata	Asteroidea	Valvatida	Odontasteridae	Acodontaster			urn:lsid:marinespecies.org:taxname:172592	Verrill, 1899	Camille Moreau	Ethanol	2017			2017	-51.1347	71.8448	1e-4	11.1		Clade_Acodontaster sp6		Kerguelen	WGS84	214	214
SO_isotope:ULB-ACE_ASCCC_0271.1	Sounthern_Ocean_Isotope_2024	ACE_2017:272	ACE_2017	272		ULB	ULB	ACE ASCCC 0271.1	ACE_ASCCC_0271.1	PhysicalObject	PreservedSpecimen	present	Acodontaster	Animalia	Echinodermata	Asteroidea	Valvatida	Odontasteridae	Acodontaster			urn:lsid:marinespecies.org:taxname:172592	Verrill, 1899	Camille Moreau	Ethanol	2017			2017	-51.1471	71.758	1e-4	11.1		Clade_Acodontaster sp6		Kerguelen	WGS84	207	207
SO_isotope:ULB-ACE_ASCCC_0671	Sounthern_Ocean_Isotope_2025	ACE_2017:1532	ACE_2017	1532		ULB	ULB	ACE ASCCC 0671	ACE_ASCCC_0671	PhysicalObject	PreservedSpecimen	present	Asteroidea	Animalia	Echinodermata	Asteroidea						urn:lsid:marinespecies.org:taxname:123080	de Blainville, 1830	Camille Moreau	Ethanol	2017			2017	-73.2015	-127.2673	1e-4	11.1				Siple Island (Admundsen)	WGS84	340	340
SO_isotope:ULB-ACE_ASCCC_1066.7	Sounthern_Ocean_Isotope_2026	ACE_2017:2768	ACE_2017	2768		ULB	ULB	ACE ASCCC 1066.7	ACE_ASCCC_1066.7	PhysicalObject	PreservedSpecimen	present	Asteroidea	Animalia	Echinodermata	Asteroidea						urn:lsid:marinespecies.org:taxname:123080	de Blainville, 1830	Camille Moreau	Ethanol	2017			2017	-54.4249	3.5241	1e-4	11.1				Ile Bouvet	WGS84	327	327
SO_isotope:ULB-ACE_ASCCC_1126.7	Sounthern_Ocean_Isotope_2027	ACE_2017:2770	ACE_2017	2770		ULB	ULB	ACE ASCCC 1126.7	ACE_ASCCC_1126.7	PhysicalObject	PreservedSpecimen	present	Asteroidea	Animalia	Echinodermata	Asteroidea						urn:lsid:marinespecies.org:taxname:123080	de Blainville, 1830	Camille Moreau	Ethanol	2017			2017	-54.4246	3.5292	1e-4	11.1				Ile Bouvet	WGS84	399	399
SO_isotope:ULB-ACE_ASCCC_1126.8	Sounthern_Ocean_Isotope_2028	ACE_2017:2770	ACE_2017	2770		ULB	ULB	ACE ASCCC 1126.8	ACE_ASCCC_1126.8	PhysicalObject	PreservedSpecimen	present	Asteroidea	Animalia	Echinodermata	Asteroidea						urn:lsid:marinespecies.org:taxname:123080	de Blainville, 1830	Camille Moreau	Ethanol	2017			2017	-54.4246	3.5292	1e-4	11.1				Ile Bouvet	WGS84	399	399
SO_isotope:ULB-ACE_ASCCC_0515.3	Sounthern_Ocean_Isotope_2029	ACE_2017:1212	ACE_2017	1212		ULB	ULB	ACE ASCCC 0515.3	ACE_ASCCC_0515.3	PhysicalObject	PreservedSpecimen	present	Bathybiaster loripes	Animalia	Echinodermata	Asteroidea	Paxillosida	Astropectinidae	Bathybiaster		loripes	urn:lsid:marinespecies.org:taxname:172715	Sladen, 1889	Camille Moreau	Ethanol	2017			2017	-66.1481	162.2009	1e-4	11.1		Clade_Bathybiaster loripes		Young Island	WGS84	600	600
SO_isotope:ULB-ACE_ASCCC_0080.1	Sounthern_Ocean_Isotope_2030	ACE_2017:211	ACE_2017	211		ULB	ULB	ACE ASCCC 0080.1	ACE_ASCCC_0080.1	PhysicalObject	PreservedSpecimen	present	Bathybiaster vexillifer	Animalia	Echinodermata	Asteroidea	Paxillosida	Astropectinidae	Bathybiaster		vexillifer	urn:lsid:marinespecies.org:taxname:123881	Wyville Thomson, 1873	Camille Moreau	Ethanol	2017			2017	-49.7331	64.8713	1e-4	11.1				Kerguelen	WGS84	290	290
