occurrenceID	picture #	type	identifier	title	creator	contributor	license	rightsHolder
ANTARXXVII_LEG1_AB_St1_AT_St1_A_001	St1_A_001	image/jpg	https://zenodo.org/record/4942307/files/St1_A_001.JPG	Arthropoda photographed at station St1 during ANTARXVII Leg-1 expedtion	Louraine Salabao	Jolien Claes	https://creativecommons.org/licenses/by/4.0/legalcode	Royal Belgian Institute of Natural Sciences
ANTARXXVII_LEG1_AB_St1_AT_St1_A_002a	St1_A_002a	image/jpg	https://zenodo.org/record/4942307/files/St1_A_002a.JPG	Arthropoda photographed at station St1 during ANTARXVII Leg-1 expedtion	Louraine Salabao	Jolien Claes	https://creativecommons.org/licenses/by/4.0/legalcode	Royal Belgian Institute of Natural Sciences
ANTARXXVII_LEG1_AB_St1_AT_St1_A_003.1	St1_A_003.1	image/jpg	https://zenodo.org/record/4942307/files/St1_A_003.1.JPG	Arthropoda photographed at station St1 during ANTARXVII Leg-1 expedtion	Louraine Salabao	Jolien Claes	https://creativecommons.org/licenses/by/4.0/legalcode	Royal Belgian Institute of Natural Sciences
ANTARXXVII_LEG1_AB_St1_AT_St1_A_003.2	St1_A_003.2	image/jpg	https://zenodo.org/record/4942307/files/St1_A_003.2.JPG	Arthropoda photographed at station St1 during ANTARXVII Leg-1 expedtion	Louraine Salabao	Jolien Claes	https://creativecommons.org/licenses/by/4.0/legalcode	Royal Belgian Institute of Natural Sciences
ANTARXXVII_LEG1_AB_St1_AT_St1_A_003.3	St1_A_003.3	image/jpg	https://zenodo.org/record/4942307/files/St1_A_003.3.JPG	Arthropoda photographed at station St1 during ANTARXVII Leg-1 expedtion	Louraine Salabao	Jolien Claes	https://creativecommons.org/licenses/by/4.0/legalcode	Royal Belgian Institute of Natural Sciences
ANTARXXVII_LEG1_AB_St1_AT_St1_A_003.4	St1_A_003.4	image/jpg	https://zenodo.org/record/4942307/files/St1_A_003.4.JPG	Arthropoda photographed at station St1 during ANTARXVII Leg-1 expedtion	Louraine Salabao	Jolien Claes	https://creativecommons.org/licenses/by/4.0/legalcode	Royal Belgian Institute of Natural Sciences
ANTARXXVII_LEG1_AB_St1_AT_St1_A_003.5	St1_A_003.5	image/jpg	https://zenodo.org/record/4942307/files/St1_A_003.5.JPG	Arthropoda photographed at station St1 during ANTARXVII Leg-1 expedtion	Louraine Salabao	Jolien Claes	https://creativecommons.org/licenses/by/4.0/legalcode	Royal Belgian Institute of Natural Sciences
ANTARXXVII_LEG1_AB_St1_AT_St1_A_004a	St1_A_004a	image/jpg	https://zenodo.org/record/4942307/files/St1_A_004a.JPG	Arthropoda photographed at station St1 during ANTARXVII Leg-1 expedtion	Louraine Salabao	Jolien Claes	https://creativecommons.org/licenses/by/4.0/legalcode	Royal Belgian Institute of Natural Sciences
ANTARXXVII_LEG1_AB_St1_AT_St1_A_005a	St1_A_005a	image/jpg	https://zenodo.org/record/4942307/files/St1_A_005a.JPG	Arthropoda photographed at station St1 during ANTARXVII Leg-1 expedtion	Louraine Salabao	Jolien Claes	https://creativecommons.org/licenses/by/4.0/legalcode	Royal Belgian Institute of Natural Sciences
ANTARXXVII_LEG1_AB_St1_AT_St1_I_001	St1_I_001	image/jpg	https://zenodo.org/record/4942307/files/St1_I_001.JPG	Arthropoda photographed at station St1 during ANTARXVII Leg-1 expedtion	Louraine Salabao	Jolien Claes	https://creativecommons.org/licenses/by/4.0/legalcode	Royal Belgian Institute of Natural Sciences
ANTARXXVII_LEG1_AB_St1_AT_St1_A_006	St1_A_006	image/jpg	https://zenodo.org/record/4942307/files/St1_A_006.JPG	Arthropoda photographed at station St1 during ANTARXVII Leg-1 expedtion	Louraine Salabao	Jolien Claes	https://creativecommons.org/licenses/by/4.0/legalcode	Royal Belgian Institute of Natural Sciences
ANTARXXVII_LEG1_AB_St1_AT_St1_A_007a	St1_A_007a	image/jpg	https://zenodo.org/record/4942307/files/St1_A_007a.JPG	Arthropoda photographed at station St1 during ANTARXVII Leg-1 expedtion	Louraine Salabao	Jolien Claes	https://creativecommons.org/licenses/by/4.0/legalcode	Royal Belgian Institute of Natural Sciences
ANTARXXVII_LEG1_AB_St1_AT_St1_A_008a	St1_A_008a	image/jpg	https://zenodo.org/record/4942307/files/St1_A_008a.JPG	Arthropoda photographed at station St1 during ANTARXVII Leg-1 expedtion	Louraine Salabao	Jolien Claes	https://creativecommons.org/licenses/by/4.0/legalcode	Royal Belgian Institute of Natural Sciences
