occurrenceID	eventID	collectionCode	fieldNumber	verbatimCoordinates	individualCount	verbatimIdentification	identificationQualifier	preparations	basisOfRecord	occurrenceRemarks	scientificNameID	taxonomicStatus	scientificName	scientificNameAuthorship	kingdom	phylum	class	order	family	genus	specificEpithet	taxonRemarks	taxonRank	locality	samplingProtocol	samplingEffort	verbatimCoordinates	verbatimLatitude	verbatimLongitude	decimalLatitude	decimalLongitude	coordinatePrecision	coordinateUncertaintyInMeters	verbatimDepth	minimumDepthInMeters	maximumDepthInMeters	verbatimEventDate	eventDate	eventTime	dynamicProperties	occurrenceStatus	ID	geodeticDatum	countryCode	country	recordedBy	identifiedBy	recordedByID	identifiedByID	institutionCode	type
ANTARXXVII_LEG1_AB_St1_AT_St1_A_001	ANTARXXVII_LEG1_AB_St1_AT	IG34101	St1	58°28'30''W, 62°7'0.10''S	1	Cheirimedon femoratus		ethanol	PreservedSpecimen		urn:lsid:marinespecies.org:taxname:237656	accepted	Cheirimedon femoratus	(Pfeffer, 1888)	Animalia	Arthropoda	Malacostraca	Amphipoda	Tryphosidae	Cheirimedon	femoratus		species	Admiralty bay	Amphipod trap with chilean piccarel fish as bait	24 hours trap duration	62°7'0.10''S, 58°28'30''W	62°7'0.10''S	 58°28'30''W	-62.1167	-58.4750	0.0001	12	120	120	120	12/29/2019-12/30/2019	2019-12-29T13:00Z/2019-12-30T14:00Z			present	St1_A_001	EPSG:4326	AQ	Antarctica	Louraine Salabao | Jolien Claes	Louraine Salabao | Jolien Claes	https://orcid.org/0000-0002-3154-8832 | https://orcid.org/0000-0003-1474-1654	https://orcid.org/0000-0002-3154-8832 | https://orcid.org/0000-0003-1474-1654	RBINS	PhysicalObject
ANTARXXVII_LEG1_AB_St1_AT_St1_A_002a	ANTARXXVII_LEG1_AB_St1_AT	IG34101	St1	58°28'30''W, 62°7'0.10''S	1	Charcotia obesa		frozen	PreservedSpecimen	whole individual/ Waldeckia obesa on the label but should be Charcotia obesa	urn:lsid:marinespecies.org:taxname:1287846	accepted	Charcotia obesa	Chevreux, 1906	Animalia	Arthropoda	Malacostraca	Amphipoda	Lysianassidae	Charcotia	obesa		species	Admiralty bay	Amphipod trap with chilean piccarel fish as bait	24 hours trap duration	62°7'0.10''S, 58°28'30''W	62°7'0.10''S	 58°28'30''W	-62.1167	-58.4750	0.0001	12	120	120	120	12/29/2019-12/30/2019	2019-12-29T13:00Z/2019-12-30T14:00Z			present	St1_A_002a	EPSG:4326	AQ	Antarctica	Louraine Salabao | Jolien Claes	Louraine Salabao | Jolien Claes	https://orcid.org/0000-0002-3154-8832 | https://orcid.org/0000-0003-1474-1654	https://orcid.org/0000-0002-3154-8832 | https://orcid.org/0000-0003-1474-1654	RBINS	PhysicalObject
ANTARXXVII_LEG1_AB_St1_AT_St1_A_002b	ANTARXXVII_LEG1_AB_St1_AT	IG34101	St1	58°28'30''W, 62°7'0.10''S		Charcotia obesa		allprotect	MaterialSample	pleopod taken (subsample from ANTARXXVII_LEG1_AB_St1_AT_St1_A_002a)	urn:lsid:marinespecies.org:taxname:1287846	accepted	Charcotia obesa	Chevreux, 1906	Animalia	Arthropoda	Malacostraca	Amphipoda	Lysianassidae	Charcotia	obesa		species	Admiralty bay	Amphipod trap with chilean piccarel fish as bait	24 hours trap duration	62°7'0.10''S, 58°28'30''W	62°7'0.10''S	 58°28'30''W	-62.1167	-58.4750	0.0001	12	120	120	120	12/29/2019-12/30/2019	2019-12-29T13:00Z/2019-12-30T14:00Z				St1_A_002b	EPSG:4326	AQ	Antarctica	Louraine Salabao | Jolien Claes	Louraine Salabao | Jolien Claes	https://orcid.org/0000-0002-3154-8832 | https://orcid.org/0000-0003-1474-1654	https://orcid.org/0000-0002-3154-8832 | https://orcid.org/0000-0003-1474-1654	RBINS	PhysicalObject
ANTARXXVII_LEG1_AB_St1_AT_St1_A_002c	ANTARXXVII_LEG1_AB_St1_AT	IG34101	St1	58°28'30''W, 62°7'0.10''S		Charcotia obesa		RNA/DNA shield	MaterialSample	pleopod taken (subsample from ANTARXXVII_LEG1_AB_St1_AT_St1_A_002a)	urn:lsid:marinespecies.org:taxname:1287846	accepted	Charcotia obesa	Chevreux, 1906	Animalia	Arthropoda	Malacostraca	Amphipoda	Lysianassidae	Charcotia	obesa		species	Admiralty bay	Amphipod trap with chilean piccarel fish as bait	24 hours trap duration	62°7'0.10''S, 58°28'30''W	62°7'0.10''S	 58°28'30''W	-62.1167	-58.4750	0.0001	12	120	120	120	12/29/2019-12/30/2019	2019-12-29T13:00Z/2019-12-30T14:00Z				St1_A_002c	EPSG:4326	AQ	Antarctica	Louraine Salabao | Jolien Claes	Louraine Salabao | Jolien Claes	https://orcid.org/0000-0002-3154-8832 | https://orcid.org/0000-0003-1474-1654	https://orcid.org/0000-0002-3154-8832 | https://orcid.org/0000-0003-1474-1654	RBINS	PhysicalObject
ANTARXXVII_LEG1_AB_St1_AT_St1_A_003.1	ANTARXXVII_LEG1_AB_St1_AT	IG34101	St1	58°28'30''W, 62°7'0.10''S	1	Charcotia obesa		ethanol	PreservedSpecimen	whole individual	urn:lsid:marinespecies.org:taxname:1287846	accepted	Charcotia obesa	Chevreux, 1906	Animalia	Arthropoda	Malacostraca	Amphipoda	Lysianassidae	Charcotia	obesa		species	Admiralty bay	Amphipod trap with chilean piccarel fish as bait	24 hours trap duration	62°7'0.10''S, 58°28'30''W	62°7'0.10''S	 58°28'30''W	-62.1167	-58.4750	0.0001	12	120	120	120	12/29/2019-12/30/2019	2019-12-29T13:00Z/2019-12-30T14:00Z			present	St1_A_003.1	EPSG:4326	AQ	Antarctica	Louraine Salabao | Jolien Claes	Louraine Salabao | Jolien Claes	https://orcid.org/0000-0002-3154-8832 | https://orcid.org/0000-0003-1474-1654	https://orcid.org/0000-0002-3154-8832 | https://orcid.org/0000-0003-1474-1654	RBINS	PhysicalObject
ANTARXXVII_LEG1_AB_St1_AT_St1_A_003.2	ANTARXXVII_LEG1_AB_St1_AT	IG34101	St1	58°28'30''W, 62°7'0.10''S	1	Charcotia obesa		ethanol	PreservedSpecimen	whole individual	urn:lsid:marinespecies.org:taxname:1287846	accepted	Charcotia obesa	Chevreux, 1906	Animalia	Arthropoda	Malacostraca	Amphipoda	Lysianassidae	Charcotia	obesa		species	Admiralty bay	Amphipod trap with chilean piccarel fish as bait	24 hours trap duration	62°7'0.10''S, 58°28'30''W	62°7'0.10''S	 58°28'30''W	-62.1167	-58.4750	0.0001	12	120	120	120	12/29/2019-12/30/2019	2019-12-29T13:00Z/2019-12-30T14:00Z			present	St1_A_003.2	EPSG:4326	AQ	Antarctica	Louraine Salabao | Jolien Claes	Louraine Salabao | Jolien Claes	https://orcid.org/0000-0002-3154-8832 | https://orcid.org/0000-0003-1474-1654	https://orcid.org/0000-0002-3154-8832 | https://orcid.org/0000-0003-1474-1654	RBINS	PhysicalObject
ANTARXXVII_LEG1_AB_St1_AT_St1_A_003.3	ANTARXXVII_LEG1_AB_St1_AT	IG34101	St1	58°28'30''W, 62°7'0.10''S	1	Charcotia obesa		ethanol	PreservedSpecimen	whole individual	urn:lsid:marinespecies.org:taxname:1287846	accepted	Charcotia obesa	Chevreux, 1906	Animalia	Arthropoda	Malacostraca	Amphipoda	Lysianassidae	Charcotia	obesa		species	Admiralty bay	Amphipod trap with chilean piccarel fish as bait	24 hours trap duration	62°7'0.10''S, 58°28'30''W	62°7'0.10''S	 58°28'30''W	-62.1167	-58.4750	0.0001	12	120	120	120	12/29/2019-12/30/2019	2019-12-29T13:00Z/2019-12-30T14:00Z			present	St1_A_003.3	EPSG:4326	AQ	Antarctica	Louraine Salabao | Jolien Claes	Louraine Salabao | Jolien Claes	https://orcid.org/0000-0002-3154-8832 | https://orcid.org/0000-0003-1474-1654	https://orcid.org/0000-0002-3154-8832 | https://orcid.org/0000-0003-1474-1654	RBINS	PhysicalObject
ANTARXXVII_LEG1_AB_St1_AT_St1_A_003.4	ANTARXXVII_LEG1_AB_St1_AT	IG34101	St1	58°28'30''W, 62°7'0.10''S	1	Charcotia obesa		ethanol	PreservedSpecimen	whole individual	urn:lsid:marinespecies.org:taxname:1287846	accepted	Charcotia obesa	Chevreux, 1906	Animalia	Arthropoda	Malacostraca	Amphipoda	Lysianassidae	Charcotia	obesa		species	Admiralty bay	Amphipod trap with chilean piccarel fish as bait	24 hours trap duration	62°7'0.10''S, 58°28'30''W	62°7'0.10''S	 58°28'30''W	-62.1167	-58.4750	0.0001	12	120	120	120	12/29/2019-12/30/2019	2019-12-29T13:00Z/2019-12-30T14:00Z			present	St1_A_003.4	EPSG:4326	AQ	Antarctica	Louraine Salabao | Jolien Claes	Louraine Salabao | Jolien Claes	https://orcid.org/0000-0002-3154-8832 | https://orcid.org/0000-0003-1474-1654	https://orcid.org/0000-0002-3154-8832 | https://orcid.org/0000-0003-1474-1654	RBINS	PhysicalObject
ANTARXXVII_LEG1_AB_St1_AT_St1_A_003.5	ANTARXXVII_LEG1_AB_St1_AT	IG34101	St1	58°28'30''W, 62°7'0.10''S	1	Charcotia obesa		ethanol	PreservedSpecimen	whole individual	urn:lsid:marinespecies.org:taxname:1287846	accepted	Charcotia obesa	Chevreux, 1906	Animalia	Arthropoda	Malacostraca	Amphipoda	Lysianassidae	Charcotia	obesa		species	Admiralty bay	Amphipod trap with chilean piccarel fish as bait	24 hours trap duration	62°7'0.10''S, 58°28'30''W	62°7'0.10''S	 58°28'30''W	-62.1167	-58.4750	0.0001	12	120	120	120	12/29/2019-12/30/2019	2019-12-29T13:00Z/2019-12-30T14:00Z			present	St1_A_003.5	EPSG:4326	AQ	Antarctica	Louraine Salabao | Jolien Claes	Louraine Salabao | Jolien Claes	https://orcid.org/0000-0002-3154-8832 | https://orcid.org/0000-0003-1474-1654	https://orcid.org/0000-0002-3154-8832 | https://orcid.org/0000-0003-1474-1654	RBINS	PhysicalObject
ANTARXXVII_LEG1_AB_St1_AT_St1_A_004a	ANTARXXVII_LEG1_AB_St1_AT	IG34101	St1	58°28'30''W, 62°7'0.10''S	1	Charcotia obesa		frozen	PreservedSpecimen	whole individual	urn:lsid:marinespecies.org:taxname:1287846	accepted	Charcotia obesa	Chevreux, 1906	Animalia	Arthropoda	Malacostraca	Amphipoda	Lysianassidae	Charcotia	obesa		species	Admiralty bay	Amphipod trap with chilean piccarel fish as bait	24 hours trap duration	62°7'0.10''S, 58°28'30''W	62°7'0.10''S	 58°28'30''W	-62.1167	-58.4750	0.0001	12	120	120	120	12/29/2019-12/30/2019	2019-12-29T13:00Z/2019-12-30T14:00Z			present	St1_A_004a	EPSG:4326	AQ	Antarctica	Louraine Salabao | Jolien Claes	Louraine Salabao | Jolien Claes	https://orcid.org/0000-0002-3154-8832 | https://orcid.org/0000-0003-1474-1654	https://orcid.org/0000-0002-3154-8832 | https://orcid.org/0000-0003-1474-1654	RBINS	PhysicalObject
ANTARXXVII_LEG1_AB_St1_AT_St1_A_004b	ANTARXXVII_LEG1_AB_St1_AT	IG34101	St1	58°28'30''W, 62°7'0.10''S		Charcotia obesa		allprotect	MaterialSample	pleopod taken (subsample from ANTARXXVII_LEG1_AB_St1_AT_St1_A_004a)	urn:lsid:marinespecies.org:taxname:1287846	accepted	Charcotia obesa	Chevreux, 1906	Animalia	Arthropoda	Malacostraca	Amphipoda	Lysianassidae	Charcotia	obesa		species	Admiralty bay	Amphipod trap with chilean piccarel fish as bait	24 hours trap duration	62°7'0.10''S, 58°28'30''W	62°7'0.10''S	 58°28'30''W	-62.1167	-58.4750	0.0001	12	120	120	120	12/29/2019-12/30/2019	2019-12-29T13:00Z/2019-12-30T14:00Z				St1_A_004b	EPSG:4326	AQ	Antarctica	Louraine Salabao | Jolien Claes	Louraine Salabao | Jolien Claes	https://orcid.org/0000-0002-3154-8832 | https://orcid.org/0000-0003-1474-1654	https://orcid.org/0000-0002-3154-8832 | https://orcid.org/0000-0003-1474-1654	RBINS	PhysicalObject
ANTARXXVII_LEG1_AB_St1_AT_St1_A_004c	ANTARXXVII_LEG1_AB_St1_AT	IG34101	St1	58°28'30''W, 62°7'0.10''S		Charcotia obesa		RNA/DNA shield	MaterialSample	pleopod taken (subsample from ANTARXXVII_LEG1_AB_St1_AT_St1_A_004a)	urn:lsid:marinespecies.org:taxname:1287846	accepted	Charcotia obesa	Chevreux, 1906	Animalia	Arthropoda	Malacostraca	Amphipoda	Lysianassidae	Charcotia	obesa		species	Admiralty bay	Amphipod trap with chilean piccarel fish as bait	24 hours trap duration	62°7'0.10''S, 58°28'30''W	62°7'0.10''S	 58°28'30''W	-62.1167	-58.4750	0.0001	12	120	120	120	12/29/2019-12/30/2019	2019-12-29T13:00Z/2019-12-30T14:00Z				St1_A_004c	EPSG:4326	AQ	Antarctica	Louraine Salabao | Jolien Claes	Louraine Salabao | Jolien Claes	https://orcid.org/0000-0002-3154-8832 | https://orcid.org/0000-0003-1474-1654	https://orcid.org/0000-0002-3154-8832 | https://orcid.org/0000-0003-1474-1654	RBINS	PhysicalObject
