occurrenceID	type	language	country	countryCode	locality	locationAccordingTo	verbatimLatitude	verbatimLongitude	decimalLatitude	decimalLongitude	coordinatePrecision	geodeticDatum	eventDate	minimumDepthInMeters	maximumDepthInMeters	samplingProtocol	samplingEffort	basisOfRecord	occurrenceStatus	identificationRemarks	taxonRemarks	vernacularName	scientificName	scientificNameID	kingdom	phylum	class	order	family	genus	specificEpithet	taxonRank	scientificNameAuthorship
cape-well-met_2019_C_001	MovingImage	en	antarctica	AQ	Cape Well-met	SCAR Composite Gazetteer of Antarctica https://data.aad.gov.au/aadc/gaz/scar/	63 47.094'S	57 20.220' W	-63.78490	-57.33700	0.00001	EPSG:4326	2019-11-29	0	97	Video evidence of a Vulnerable Marine Ecosystem (VME) was collected via submarine deployed by the tourist super-yacht MY Scenic Eclipse flagged with Malta. Recordings begin at the greatest depth and continue as the submarine travels up the wall. Footage was taken with a GoPro Hero 7 Black mounted in the pilot window of a U-Boat Worx Cruise Sub 7-300 (https://www.uboatworx.com/model/cruisesub).	Recordings begin at the greatest depth and continue as the submarine travels up the wall.	MachineObservation	present			glass sponge	Hexactinellida	urn:lsid:marinespecies.org:taxname:22612	Animalia	Porifera	Hexactinellida					class	Schmidt, 1870
cape-well-met_2019_C_002	MovingImage	en	antarctica	AQ	Cape Well-met	SCAR Composite Gazetteer of Antarctica https://data.aad.gov.au/aadc/gaz/scar/	63 47.094'S	57 20.220' W	-63.78490	-57.33700	0.00001	EPSG:4326	2019-11-29	0	97	Video evidence of a Vulnerable Marine Ecosystem (VME) was collected via submarine deployed by the tourist super-yacht MY Scenic Eclipse flagged with Malta. Recordings begin at the greatest depth and continue as the submarine travels up the wall. Footage was taken with a GoPro Hero 7 Black mounted in the pilot window of a U-Boat Worx Cruise Sub 7-300 (https://www.uboatworx.com/model/cruisesub).	Recordings begin at the greatest depth and continue as the submarine travels up the wall.	MachineObservation	present				Demospongiae	urn:lsid:marinespecies.org:taxname:164811	Animalia	Porifera	Demospongiae					class	Sollas, 1885
cape-well-met_2019_C_003	MovingImage	en	antarctica	AQ	Cape Well-met	SCAR Composite Gazetteer of Antarctica https://data.aad.gov.au/aadc/gaz/scar/	63 47.094'S	57 20.220' W	-63.78490	-57.33700	0.00001	EPSG:4326	2019-11-29	0	97	Video evidence of a Vulnerable Marine Ecosystem (VME) was collected via submarine deployed by the tourist super-yacht MY Scenic Eclipse flagged with Malta. Recordings begin at the greatest depth and continue as the submarine travels up the wall. Footage was taken with a GoPro Hero 7 Black mounted in the pilot window of a U-Boat Worx Cruise Sub 7-300 (https://www.uboatworx.com/model/cruisesub).	Recordings begin at the greatest depth and continue as the submarine travels up the wall.	MachineObservation	present				Hydroida	urn:lsid:marinespecies.org:taxname:152195	Animalia	Cnidaria	Hydrozoa	Hydroida				order	
cape-well-met_2019_C_004	MovingImage	en	antarctica	AQ	Cape Well-met	SCAR Composite Gazetteer of Antarctica https://data.aad.gov.au/aadc/gaz/scar/	63 47.094'S	57 20.220' W	-63.78490	-57.33700	0.00001	EPSG:4326	2019-11-29	0	97	Video evidence of a Vulnerable Marine Ecosystem (VME) was collected via submarine deployed by the tourist super-yacht MY Scenic Eclipse flagged with Malta. Recordings begin at the greatest depth and continue as the submarine travels up the wall. Footage was taken with a GoPro Hero 7 Black mounted in the pilot window of a U-Boat Worx Cruise Sub 7-300 (https://www.uboatworx.com/model/cruisesub).	Recordings begin at the greatest depth and continue as the submarine travels up the wall.	MachineObservation	absent			hydrocoral	Stylasteridae	urn:lsid:marinespecies.org:taxname:22805	Animalia	Cnidaria	Hydrozoa	Anthoathecata	Stylasteridae			family	Gray, 1847
cape-well-met_2019_C_005	MovingImage	en	antarctica	AQ	Cape Well-met	SCAR Composite Gazetteer of Antarctica https://data.aad.gov.au/aadc/gaz/scar/	63 47.094'S	57 20.220' W	-63.78490	-57.33700	0.00001	EPSG:4326	2019-11-29	0	97	Video evidence of a Vulnerable Marine Ecosystem (VME) was collected via submarine deployed by the tourist super-yacht MY Scenic Eclipse flagged with Malta. Recordings begin at the greatest depth and continue as the submarine travels up the wall. Footage was taken with a GoPro Hero 7 Black mounted in the pilot window of a U-Boat Worx Cruise Sub 7-300 (https://www.uboatworx.com/model/cruisesub).	Recordings begin at the greatest depth and continue as the submarine travels up the wall.	MachineObservation	absent			sea pens	Pennatulacea	urn:lsid:marinespecies.org:taxname:1367	Animalia	Cnidaria	Anthozoa	Pennatulacea				order	Verrill, 1865
cape-well-met_2019_C_006	MovingImage	en	antarctica	AQ	Cape Well-met	SCAR Composite Gazetteer of Antarctica https://data.aad.gov.au/aadc/gaz/scar/	63 47.094'S	57 20.220' W	-63.78490	-57.33700	0.00001	EPSG:4326	2019-11-29	0	97	Video evidence of a Vulnerable Marine Ecosystem (VME) was collected via submarine deployed by the tourist super-yacht MY Scenic Eclipse flagged with Malta. Recordings begin at the greatest depth and continue as the submarine travels up the wall. Footage was taken with a GoPro Hero 7 Black mounted in the pilot window of a U-Boat Worx Cruise Sub 7-300 (https://www.uboatworx.com/model/cruisesub).	Recordings begin at the greatest depth and continue as the submarine travels up the wall.	MachineObservation	absent			soft coral	Alcyoniina	urn:lsid:marinespecies.org:taxname:411555	Animalia	Cnidaria	Anthozoa	Alcyonacea				order	
cape-well-met_2019_C_007	MovingImage	en	antarctica	AQ	Cape Well-met	SCAR Composite Gazetteer of Antarctica https://data.aad.gov.au/aadc/gaz/scar/	63 47.094'S	57 20.220' W	-63.78490	-57.33700	0.00001	EPSG:4326	2019-11-29	0	97	Video evidence of a Vulnerable Marine Ecosystem (VME) was collected via submarine deployed by the tourist super-yacht MY Scenic Eclipse flagged with Malta. Recordings begin at the greatest depth and continue as the submarine travels up the wall. Footage was taken with a GoPro Hero 7 Black mounted in the pilot window of a U-Boat Worx Cruise Sub 7-300 (https://www.uboatworx.com/model/cruisesub).	Recordings begin at the greatest depth and continue as the submarine travels up the wall.	MachineObservation	absent			bamboo coral	Isididae	urn:lsid:marinespecies.org:taxname:125276	Animalia	Cnidaria	Anthozoa	Alcyonacea	Isididae			family	Lamouroux, 1812
cape-well-met_2019_C_008	MovingImage	en	antarctica	AQ	Cape Well-met	SCAR Composite Gazetteer of Antarctica https://data.aad.gov.au/aadc/gaz/scar/	63 47.094'S	57 20.220' W	-63.78490	-57.33700	0.00001	EPSG:4326	2019-11-29	0	97	Video evidence of a Vulnerable Marine Ecosystem (VME) was collected via submarine deployed by the tourist super-yacht MY Scenic Eclipse flagged with Malta. Recordings begin at the greatest depth and continue as the submarine travels up the wall. Footage was taken with a GoPro Hero 7 Black mounted in the pilot window of a U-Boat Worx Cruise Sub 7-300 (https://www.uboatworx.com/model/cruisesub).	Recordings begin at the greatest depth and continue as the submarine travels up the wall.	MachineObservation	present			bottles, fans & whips	Primnoidae	urn:lsid:marinespecies.org:taxname:125278	Animalia	Cnidaria	Anthozoa	Alcyonacea	Primnoidae			family	Milne Edwards, 1857
cape-well-met_2019_C_009	MovingImage	en	antarctica	AQ	Cape Well-met	SCAR Composite Gazetteer of Antarctica https://data.aad.gov.au/aadc/gaz/scar/	63 47.094'S	57 20.220' W	-63.78490	-57.33700	0.00001	EPSG:4326	2019-11-29	0	97	Video evidence of a Vulnerable Marine Ecosystem (VME) was collected via submarine deployed by the tourist super-yacht MY Scenic Eclipse flagged with Malta. Recordings begin at the greatest depth and continue as the submarine travels up the wall. Footage was taken with a GoPro Hero 7 Black mounted in the pilot window of a U-Boat Worx Cruise Sub 7-300 (https://www.uboatworx.com/model/cruisesub).	Recordings begin at the greatest depth and continue as the submarine travels up the wall.	MachineObservation	absent			bubblegum coral	Paragorgiidae	urn:lsid:marinespecies.org:taxname:125281	Animalia	Cnidaria	Anthozoa	Alcyonacea	Paragorgiidae			family	Kükenthal, 1916
cape-well-met_2019_C_010	MovingImage	en	antarctica	AQ	Cape Well-met	SCAR Composite Gazetteer of Antarctica https://data.aad.gov.au/aadc/gaz/scar/	63 47.094'S	57 20.220' W	-63.78490	-57.33700	0.00001	EPSG:4326	2019-11-29	0	97	Video evidence of a Vulnerable Marine Ecosystem (VME) was collected via submarine deployed by the tourist super-yacht MY Scenic Eclipse flagged with Malta. Recordings begin at the greatest depth and continue as the submarine travels up the wall. Footage was taken with a GoPro Hero 7 Black mounted in the pilot window of a U-Boat Worx Cruise Sub 7-300 (https://www.uboatworx.com/model/cruisesub).	Recordings begin at the greatest depth and continue as the submarine travels up the wall.	MachineObservation	absent				Acanthogorgiidae	urn:lsid:marinespecies.org:taxname:125272	Animalia	Cnidaria	Anthozoa	Alcyonacea	Acanthogorgiidae			family	Gray, 1859
cape-well-met_2019_C_011	MovingImage	en	antarctica	AQ	Cape Well-met	SCAR Composite Gazetteer of Antarctica https://data.aad.gov.au/aadc/gaz/scar/	63 47.094'S	57 20.220' W	-63.78490	-57.33700	0.00001	EPSG:4326	2019-11-29	0	97	Video evidence of a Vulnerable Marine Ecosystem (VME) was collected via submarine deployed by the tourist super-yacht MY Scenic Eclipse flagged with Malta. Recordings begin at the greatest depth and continue as the submarine travels up the wall. Footage was taken with a GoPro Hero 7 Black mounted in the pilot window of a U-Boat Worx Cruise Sub 7-300 (https://www.uboatworx.com/model/cruisesub).	Recordings begin at the greatest depth and continue as the submarine travels up the wall.	MachineObservation	absent			precious coral	Coralliidae	urn:lsid:marinespecies.org:taxname:125280	Animalia	Cnidaria	Anthozoa	Alcyonacea	Coralliidae			family	Lamouroux, 1812
cape-well-met_2019_C_012	MovingImage	en	antarctica	AQ	Cape Well-met	SCAR Composite Gazetteer of Antarctica https://data.aad.gov.au/aadc/gaz/scar/	63 47.094'S	57 20.220' W	-63.78490	-57.33700	0.00001	EPSG:4326	2019-11-29	0	97	Video evidence of a Vulnerable Marine Ecosystem (VME) was collected via submarine deployed by the tourist super-yacht MY Scenic Eclipse flagged with Malta. Recordings begin at the greatest depth and continue as the submarine travels up the wall. Footage was taken with a GoPro Hero 7 Black mounted in the pilot window of a U-Boat Worx Cruise Sub 7-300 (https://www.uboatworx.com/model/cruisesub).	Recordings begin at the greatest depth and continue as the submarine travels up the wall.	MachineObservation	absent			golden coral	Chrysogorgiidae	urn:lsid:marinespecies.org:taxname:125273	Animalia	Cnidaria	Anthozoa	Alcyonacea	Chrysogorgiidae			family	Verrill, 1883
cape-well-met_2019_C_013	MovingImage	en	antarctica	AQ	Cape Well-met	SCAR Composite Gazetteer of Antarctica https://data.aad.gov.au/aadc/gaz/scar/	63 47.094'S	57 20.220' W	-63.78490	-57.33700	0.00001	EPSG:4326	2019-11-29	0	97	Video evidence of a Vulnerable Marine Ecosystem (VME) was collected via submarine deployed by the tourist super-yacht MY Scenic Eclipse flagged with Malta. Recordings begin at the greatest depth and continue as the submarine travels up the wall. Footage was taken with a GoPro Hero 7 Black mounted in the pilot window of a U-Boat Worx Cruise Sub 7-300 (https://www.uboatworx.com/model/cruisesub).	Recordings begin at the greatest depth and continue as the submarine travels up the wall.	MachineObservation	present			anemones	Actinaria	urn:lsid:marinespecies.org:taxname:1440251	Animalia	Cnidaria	Anthozoa	Scleractinia	Actinacididae	Actinaraea		genus	d'Orbigny, 1849
cape-well-met_2019_C_014	MovingImage	en	antarctica	AQ	Cape Well-met	SCAR Composite Gazetteer of Antarctica https://data.aad.gov.au/aadc/gaz/scar/	63 47.094'S	57 20.220' W	-63.78490	-57.33700	0.00001	EPSG:4326	2019-11-29	0	97	Video evidence of a Vulnerable Marine Ecosystem (VME) was collected via submarine deployed by the tourist super-yacht MY Scenic Eclipse flagged with Malta. Recordings begin at the greatest depth and continue as the submarine travels up the wall. Footage was taken with a GoPro Hero 7 Black mounted in the pilot window of a U-Boat Worx Cruise Sub 7-300 (https://www.uboatworx.com/model/cruisesub).	Recordings begin at the greatest depth and continue as the submarine travels up the wall.	MachineObservation	absent			black coral	Antipatharia	urn:lsid:marinespecies.org:taxname:22549	Animalia	Cnidaria	Anthozoa	Antipatharia				order	
cape-well-met_2019_C_015	MovingImage	en	antarctica	AQ	Cape Well-met	SCAR Composite Gazetteer of Antarctica https://data.aad.gov.au/aadc/gaz/scar/	63 47.094'S	57 20.220' W	-63.78490	-57.33700	0.00001	EPSG:4326	2019-11-29	0	97	Video evidence of a Vulnerable Marine Ecosystem (VME) was collected via submarine deployed by the tourist super-yacht MY Scenic Eclipse flagged with Malta. Recordings begin at the greatest depth and continue as the submarine travels up the wall. Footage was taken with a GoPro Hero 7 Black mounted in the pilot window of a U-Boat Worx Cruise Sub 7-300 (https://www.uboatworx.com/model/cruisesub).	Recordings begin at the greatest depth and continue as the submarine travels up the wall.	MachineObservation	absent			stony coral	Scleractinia	urn:lsid:marinespecies.org:taxname:1363	Animalia	Cnidaria	Anthozoa	Scleractinia				order	Bourne, 1900
cape-well-met_2019_C_016	MovingImage	en	antarctica	AQ	Cape Well-met	SCAR Composite Gazetteer of Antarctica https://data.aad.gov.au/aadc/gaz/scar/	63 47.094'S	57 20.220' W	-63.78490	-57.33700	0.00001	EPSG:4326	2019-11-29	0	97	Video evidence of a Vulnerable Marine Ecosystem (VME) was collected via submarine deployed by the tourist super-yacht MY Scenic Eclipse flagged with Malta. Recordings begin at the greatest depth and continue as the submarine travels up the wall. Footage was taken with a GoPro Hero 7 Black mounted in the pilot window of a U-Boat Worx Cruise Sub 7-300 (https://www.uboatworx.com/model/cruisesub).	Recordings begin at the greatest depth and continue as the submarine travels up the wall.	MachineObservation	absent				Zoantharia	urn:lsid:marinespecies.org:taxname:607338	Animalia	Cnidaria	Anthozoa	Zoantharia				order	Gray, 1832
cape-well-met_2019_C_017	MovingImage	en	antarctica	AQ	Cape Well-met	SCAR Composite Gazetteer of Antarctica https://data.aad.gov.au/aadc/gaz/scar/	63 47.094'S	57 20.220' W	-63.78490	-57.33700	0.00001	EPSG:4326	2019-11-29	0	97	Video evidence of a Vulnerable Marine Ecosystem (VME) was collected via submarine deployed by the tourist super-yacht MY Scenic Eclipse flagged with Malta. Recordings begin at the greatest depth and continue as the submarine travels up the wall. Footage was taken with a GoPro Hero 7 Black mounted in the pilot window of a U-Boat Worx Cruise Sub 7-300 (https://www.uboatworx.com/model/cruisesub).	Recordings begin at the greatest depth and continue as the submarine travels up the wall.	MachineObservation	present			lamp shells	Brachiopoda	urn:lsid:marinespecies.org:taxname:1803	Animalia	Brachiopoda						phylum	Duméril, 1805
cape-well-met_2019_C_018	MovingImage	en	antarctica	AQ	Cape Well-met	SCAR Composite Gazetteer of Antarctica https://data.aad.gov.au/aadc/gaz/scar/	63 47.094'S	57 20.220' W	-63.78490	-57.33700	0.00001	EPSG:4326	2019-11-29	0	97	Video evidence of a Vulnerable Marine Ecosystem (VME) was collected via submarine deployed by the tourist super-yacht MY Scenic Eclipse flagged with Malta. Recordings begin at the greatest depth and continue as the submarine travels up the wall. Footage was taken with a GoPro Hero 7 Black mounted in the pilot window of a U-Boat Worx Cruise Sub 7-300 (https://www.uboatworx.com/model/cruisesub).	Recordings begin at the greatest depth and continue as the submarine travels up the wall.	MachineObservation	present			lace coral	Bryozoa	urn:lsid:marinespecies.org:taxname:146142	Animalia	Bryozoa						phylum	
cape-well-met_2019_C_019	MovingImage	en	antarctica	AQ	Cape Well-met	SCAR Composite Gazetteer of Antarctica https://data.aad.gov.au/aadc/gaz/scar/	63 47.094'S	57 20.220' W	-63.78490	-57.33700	0.00001	EPSG:4326	2019-11-29	0	97	Video evidence of a Vulnerable Marine Ecosystem (VME) was collected via submarine deployed by the tourist super-yacht MY Scenic Eclipse flagged with Malta. Recordings begin at the greatest depth and continue as the submarine travels up the wall. Footage was taken with a GoPro Hero 7 Black mounted in the pilot window of a U-Boat Worx Cruise Sub 7-300 (https://www.uboatworx.com/model/cruisesub).	Recordings begin at the greatest depth and continue as the submarine travels up the wall.	MachineObservation	absent				Serpulidae	urn:lsid:marinespecies.org:taxname:988	Animalia	Annelida	Polychaeta	Sabellida	Serpulidae			family	Rafinesque, 1815
cape-well-met_2019_C_020	MovingImage	en	antarctica	AQ	Cape Well-met	SCAR Composite Gazetteer of Antarctica https://data.aad.gov.au/aadc/gaz/scar/	63 47.094'S	57 20.220' W	-63.78490	-57.33700	0.00001	EPSG:4326	2019-11-29	0	97	Video evidence of a Vulnerable Marine Ecosystem (VME) was collected via submarine deployed by the tourist super-yacht MY Scenic Eclipse flagged with Malta. Recordings begin at the greatest depth and continue as the submarine travels up the wall. Footage was taken with a GoPro Hero 7 Black mounted in the pilot window of a U-Boat Worx Cruise Sub 7-300 (https://www.uboatworx.com/model/cruisesub).	Recordings begin at the greatest depth and continue as the submarine travels up the wall.	MachineObservation	absent			scallop	Adamussium colbecki	urn:lsid:marinespecies.org:taxname:197021	Animalia	Mollusca	Bivalvia	Pectinida	Pectinidae	Adamussium	colbecki	species	(E. A. Smith, 1902)
cape-well-met_2019_C_021	MovingImage	en	antarctica	AQ	Cape Well-met	SCAR Composite Gazetteer of Antarctica https://data.aad.gov.au/aadc/gaz/scar/	63 47.094'S	57 20.220' W	-63.78490	-57.33700	0.00001	EPSG:4326	2019-11-29	0	97	Video evidence of a Vulnerable Marine Ecosystem (VME) was collected via submarine deployed by the tourist super-yacht MY Scenic Eclipse flagged with Malta. Recordings begin at the greatest depth and continue as the submarine travels up the wall. Footage was taken with a GoPro Hero 7 Black mounted in the pilot window of a U-Boat Worx Cruise Sub 7-300 (https://www.uboatworx.com/model/cruisesub).	Recordings begin at the greatest depth and continue as the submarine travels up the wall.	MachineObservation	absent			sessile barnacles	Bathylasmatidae	urn:lsid:marinespecies.org:taxname:106064	Animalia	Arthropoda	Thecostraca	Balanomorpha	Bathylasmatidae			family	Newman & Ross, 1971
cape-well-met_2019_C_022	MovingImage	en	antarctica	AQ	Cape Well-met	SCAR Composite Gazetteer of Antarctica https://data.aad.gov.au/aadc/gaz/scar/	63 47.094'S	57 20.220' W	-63.78490	-57.33700	0.00001	EPSG:4326	2019-11-29	0	97	Video evidence of a Vulnerable Marine Ecosystem (VME) was collected via submarine deployed by the tourist super-yacht MY Scenic Eclipse flagged with Malta. Recordings begin at the greatest depth and continue as the submarine travels up the wall. Footage was taken with a GoPro Hero 7 Black mounted in the pilot window of a U-Boat Worx Cruise Sub 7-300 (https://www.uboatworx.com/model/cruisesub).	Recordings begin at the greatest depth and continue as the submarine travels up the wall.	MachineObservation	absent	scientificName of this record is based on vernacularName.	Non-stalked crinoids are not VME indicators and the phylogeny of the Crinoidea does not allow for a name for stalked crinoids as they come from many different lineages	Stalked crinoids	Crinoidea	urn:lsid:marinespecies.org:taxname:123081	Animalia	Echinodermata	Crinoidea					class	Miller, 1821
